scenario,tau,theta,shear_sq,det_J,volume,volume_bound_exp,volume_bound_cubic,cells_occupied,entropy_bits,shape_constant_c,in_R_regime,s1,s2,s3,rank_ell,Rprime_bound_cells,c3_meas
moderate_shear,1.15,-2.6623289,0.72790508,0.2240664704,0.9385674364,2.100996925,1.912320959,1199.75,10.025006,1.278278,1,0.72790508,0.72790508,0.42288996,3,358.4028,3.347491
moderate_shear,1.2,-2.93558906,0.70452717,0.194842119,0.8161527596,2.038903082,1.838778369,1065.0,9.841079,1.304903,1,0.70452717,0.70452717,0.3925431,3,318.8054,3.340596
moderate_shear,1.25,-3.26261644,0.67955156,0.166916006,0.699176131,1.978644389,1.767145868,933.75,9.637579,1.3355,1,0.67955156,0.67955156,0.3614541,3,280.42595,3.329756
moderate_shear,1.3,-3.66142962,0.65279049,0.1404338261,0.5882478353,1.92016661,1.697398322,802.75,9.400799,1.364646,1,0.65279049,0.65279049,0.32955211,3,243.4244,3.297738
moderate_shear,1.35,-4.15916637,0.624005,0.1155504697,0.4840166755,1.86341711,1.629510599,678.75,9.152131,1.402328,1,0.624005,0.624005,0.29675331,3,207.97144,3.263669
moderate_shear,1.4,-4.79874264,0.59288242,0.09243180132,0.387177424,1.808344812,1.563457566,572.0,8.864965,1.477359,1,0.59288242,0.59288242,0.26295672,3,174.25046,3.282631
moderate_shear,1.45,-5.65240092,0.55899892,0.07125719284,0.2984814314,1.754900146,1.499214091,460.25,8.51211,1.541972,1,0.55899892,0.55899892,0.22803776,3,142.4601,3.230729
moderate_shear,1.5,-6.85228548,0.5217526,0.0522233403,0.2187526163,1.703035008,1.43675504,352.5,8.129538,1.611409,1,0.5217526,0.5217526,0.19183834,3,112.81778,3.124507
moderate_shear,1.55,-8.66998476,0.48023219,0.03555047829,0.1489134953,1.652702717,1.376055281,277.75,7.67309,1.865177,1,0.48023219,0.48023219,0.15414978,3,85.564453,3.246091
moderate_shear,1.6,-11.77184788,0.43292079,0.02149368084,0.09003251977,1.60385797,1.317089682,178.0,7.010961,1.977063,1,0.43292079,0.43292079,0.11468164,3,60.970568,2.919441
moderate_shear,1.6485,-18.07870965,0.37872401,0.01065475677,0.04463054079,1.557858245,1.261526179,116.5,6.41332,2.61032,1,0.37872401,0.37872401,0.074284442,2,39.941929,2.916734
